Start,End,Category,Descriptors,,
00:00,4,20:59,48,Q1,
00:00,0,00:05,4,Start,
00:00,0,00:26,72,Own BS2,Outlet - Full Press - Retain
00:24,68,00:50,68,Own BS2,Full Press - Retain
00:27,68,00:53,68,Own BS2,75 Press - Counterattack - Retain
00:23,8,00:53,8,Own counter attack,
00:37,68,01:03,68,Own BS4,
00:34,68,00:53,68,Own  A25 E,Left - Retain
00:40,20,01:00,20,Own HB ATT,CP
00:28,16,01:01,16,Own Circle possesion,Right - GSO - Long corner - Retain
00:32,24,00:57,24,Own GSO,on target - saved
00:56,56,01:22,56,Own BS4,
00:58,4,01:18,4,Own HB ATT,TO
01:13,32,01:38,32,Opp Press,75 Press
01:21,48,01:46,48,Own TO4,Right
01:32,72,01:58,72,Opp BS1,Full Press - TO
01:40,68,02:05,68,Opp TO3,Centre Top
01:47,52,02:12,52,Own TO3,Left
01:57,24,02:22,24,Opp TO2,Right
02:02,12,02:27,12,Own Outlet,75 Press - TO
02:07,32,02:32,32,Own TO2,Right
01:57,96,02:27,96,Opp Counter Attack,
02:06,92,02:25,92,Opp A25 E,Left - CP
01:57,60,02:31,60,Opp Circle Possession,Left - GSO - Retain
02:08,40,02:33,40,Opp GSO,on target - saved
02:39,36,03:05,36,Opp BS4,
02:46,52,03:06,52,Opp HB ATT,
02:47,96,03:06,96,Opp A25 E,Left
02:37,40,03:11,40,Opp Circle Possession,Left - TO C
02:57,36,03:22,36,Opp TO C,
02:59,68,03:24,68,Own TO2,Left
03:03,60,03:29,60,Opp BS3,Right - Deep Press - TO
03:15,92,03:41,92,Opp TO4,Left
03:29,56,03:55,56,Own BS1,Full Press - Breach - A25e
03:41,80,04:00,80,Own  A25 E,Centre Top
03:56,24,04:22,24,Own BS4,TO
04:03,0,04:28,0,Own TO4,Centre Top
04:08,12,04:33,12,Own Press,Full Press
04:17,8,04:42,8,Opp TO1,Right
04:18,24,04:44,24,Own BS4,TO
04:21,52,04:41,52,Own HB ATT,
04:42,44,05:07,44,Own TO3,Left - Counterattack
04:34,92,05:04,92,Opp Counter Attack,
04:48,92,05:07,92,Opp A25 E,Left
04:40,8,05:14,8,Opp Circle Possession,Bline L - PCW
05:02,20,05:12,20,Opp PCW,
05:55,56,06:07,56,Own PCD,
06:16,20,06:28,20,Own PCD,GSO
06:04,8,06:29,8,Opp GSO,on target - saved
06:26,44,06:51,44,Opp TO C,
06:34,4,07:00,4,Own BS1,75 Press - Retain
06:45,44,07:14,44,Own BS2,Full Press - TO
07:09,44,07:34,44,Own TO3,Right
07:19,44,07:45,44,Opp BS3,75 Press - A25e
07:20,60,07:43,76,Opp A25 E,Right - BS 4
07:39,72,08:05,72,Opp BS4,A25e
07:43,12,08:03,12,Opp HB ATT,
07:51,16,08:10,16,Opp A25 E,Centre Top - CP
07:43,64,08:17,64,Opp Circle Possession,Right - GSO - Goal
07:48,52,08:13,52,Opp GSO,on target - scored
07:51,28,08:11,28,Opp Goal,
08:19,8,08:45,8,Own BS2,75 Press - A25e
08:35,40,08:54,40,Own  A25 E,Right
08:50,96,09:16,96,Own BS4,Retain
08:56,88,09:22,88,Own BS4,TO
09:03,44,09:28,44,Own TO4,Right
08:55,88,09:25,88,Opp Counter Attack,A25e
